position,velocity,acceleration,jerk,time,energy,reward,episode
-62.8441795915365,-0.5412688493728628,-1.1920929e-07,0.0,114.39999999999777,0.0,-0.9535774792565613,1
-62.89830647706984,-0.5412688612937917,-1.1920929e-07,0.0,114.49999999999777,0.0,-0.9535774792822516,1
-62.95243336200713,-0.5412688374519338,2.3841858e-07,3.5762786865234375e-06,114.59999999999776,0.0,-0.9535776580448055,1
-63.00656024456023,-0.5412688136100758,2.3841858e-07,0.0,114.69999999999776,0.0,-0.9535774791794908,1
-63.06068712472914,-0.5412687897682179,2.3841858e-07,0.0,114.79999999999775,0.0,-0.9535774791281103,1
-63.114814002513874,-0.54126876592636,2.3841858e-07,0.0,114.89999999999775,0.0,-0.95357747907673,1
-63.168940877914416,-0.541268742084502,2.3841858e-07,0.0,114.99999999999774,0.0,-0.9535774790253495,1
-63.223067750930774,-0.5412687182426441,2.3841858e-07,0.0,115.09999999999773,0.0,-0.9535774789739692,1
-63.27719462156295,-0.5412686944007862,2.3841858e-07,0.0,115.19999999999773,0.0,-0.9535774789225887,1
-63.33132148981093,-0.5412686705589282,2.3841858e-07,0.0,115.29999999999772,0.0,-0.9535774788712084,1
-63.38544835567473,-0.5412686467170703,2.3841858e-07,0.0,115.39999999999772,0.0,-0.9535774788198279,1
-63.43957521915435,-0.5412686228752124,2.3841858e-07,0.0,115.49999999999771,0.0,-0.9535774787684476,1
-63.493702080249776,-0.5412685990333544,2.3841858e-07,0.0,115.5999999999977,0.0,-0.9535774787170671,1
-63.54782893896102,-0.5412685751914965,2.3841858e-07,0.0,115.6999999999977,0.0,-0.9535774786656867,1
-63.60195579528808,-0.5412685513496386,2.3841858e-07,0.0,115.7999999999977,0.0,-0.9535774786143063,1
-63.656082649230946,-0.5412685275077807,2.3841858e-07,0.0,115.89999999999769,0.0,-0.9535774785629259,1
-63.71020950078963,-0.5412685036659227,2.3841858e-07,0.0,115.99999999999768,0.0,-0.9535774785115455,1
-63.76433634996413,-0.5412684798240648,2.3841858e-07,0.0,116.09999999999768,0.0,-0.953577478460165,1
-63.81846319675444,-0.5412684559822069,2.3841858e-07,0.0,116.19999999999767,0.0,-0.9535774784087847,1
-63.87259004116057,-0.5412684321403489,2.3841858e-07,0.0,116.29999999999767,0.0,-0.9535774783574043,1
-63.926716883182515,-0.541268408298491,2.3841858e-07,0.0,116.39999999999766,0.0,-0.9535774783060238,1
-63.98084372282027,-0.5412683844566331,2.3841858e-07,0.0,116.49999999999766,0.0,-0.9535774782546435,1
-64.03497056007384,-0.5412683606147751,2.3841858e-07,0.0,116.59999999999765,0.0,-0.953577478203263,1
-64.08909739494322,-0.5412683367729172,2.3841858e-07,0.0,116.69999999999764,0.0,-0.9535774781518827,1
-64.14322422742842,-0.5412683129310593,2.3841858e-07,0.0,116.79999999999764,0.0,-0.9535774781005022,1
-64.19735105752943,-0.5412682890892013,2.3841858e-07,0.0,116.89999999999763,0.0,-0.9535774780491219,1
-64.25147788524626,-0.5412682652473434,2.3841858e-07,0.0,116.99999999999763,0.0,-0.9535774779977414,1
-64.3056047105789,-0.5412682414054855,2.3841858e-07,0.0,117.09999999999762,0.0,-0.9535774779463609,1
-64.35973153352737,-0.5412682175636275,2.3841858e-07,0.0,117.19999999999762,0.0,-0.9535774778949806,1
-64.41385835409163,-0.5412681937217696,2.3841858e-07,0.0,117.29999999999761,0.0,-0.9535774778436001,1
-64.46798517227171,-0.5412681698799117,2.3841858e-07,0.0,117.3999999999976,0.0,-0.9535774777922198,1
-64.5221119880676,-0.5412681460380537,2.3841858e-07,0.0,117.4999999999976,0.0,-0.9535774777408393,1
